normalized_description,Existencias,coverage_days,low_stock_flag,stock_rotation
esc rescue tool tumbld steel 1 sz,1,0.2,1,
esc rescue knife tumbld steel 1 sz,12,2.4,1,
cfk 4 kangaroo 1 sz,3,0.6,1,
base 1sf tumbld steel 1 sz,4,0.8,1,
base 3dp tumbld steel 1 sz,5,1.0,1,
icarus dp mini black 1 sz,6,1.2,1,
icarus dp mini kangaroo 1 sz,6,1.2,1,
ryker dp mini black 1 sz,6,1.2,1,
kubaton tactical pen black 1 sz,0,0.0,1,
kubaton tactical pen sandstone 1 sz,0,0.0,1,
dm talon fixed black 1 sz,0,0.0,1,
base 2bk utility folder tumbld steel 1 s,8,1.6,1,
cfk 7 peacemaker kangaroo 1 sz,4,0.8,1,
le emt 2.0 tumbld steel 1 sz,8,1.6,1,
elbow-alta lock black,0,0.0,1,
edc 2aaa kangaroo 1 sz,1,0.2,1,
rapid l1 black 1 sz,7,1.4,1,
rapid l2 black 1 sz,0,0.0,1,
push pack black 1 sz,0,0.0,1,
push pack flat dk erth 1 sz,8,1.6,1,
tactec plate carrier dark navy 1 sz,4,0.8,1,
tactec plate carrier ranger green 1 sz,2,0.4,1,
tactec plate carrier sandstone 1 sz,0,0.0,1,
tactec plate carrier storm 1 sz,4,0.8,1,
tactec plate carrier tac od 1 sz,1,0.2,1,
double pistol bungee cvr dark navy 1 sz,1,0.2,1,
double pistol bungee cvr storm 1 sz,3,0.6,1,
double pistol bungee cvr tac od 1 sz,1,0.2,1,
2 banger black 1 sz,0,0.0,1,
2 banger sandstone 1 sz,0,0.0,1,
4 banger black 1 sz,0,0.0,1,
rush lbd mike black 1 sz,11,2.2,1,
rush lbd mike kangaroo 1 sz,1,0.2,1,
rush lbd mike ranger green 1 sz,2,0.4,1,
ucr ifak pouch sandstone 1 sz,0,0.0,1,
ucr thigh rig black 1 sz,3,0.6,1,
5.11 safe 3.4 n bdge wlet black 1 sz,10,2.0,1,
tactec plate carrier mcm multicam 1 sz,1,0.2,1,
amp24 black 1 sz,0,0.0,1,
flex admin pouch black 1 sz,9,1.8,1,
flex admin pouch kangaroo 1 sz,3,0.6,1,
flex admin pouch ranger green 1 sz,4,0.8,1,
"load up 22"" carry on ranger green 1 sz",1,0.2,1,
lv m4 black 1 sz,4,0.8,1,
lv m4 python 1 sz,6,1.2,1,
double pistol case black 1 sz,0,0.0,1,
double pistol case kangaroo 1 sz,0,0.0,1,
double pistol case ranger green 1 sz,0,0.0,1,
edt multitool black 1 sz,25,5.0,1,
edt multitool kangaroo 1 sz,7,1.4,1,
edt multitool khaki 1 sz,6,1.2,1,
lv m4 shorty black 1 sz,5,1.0,1,
lv m4 shorty python 1 sz,4,0.8,1,
mission ready 3.0 double tap 1 sz,0,0.0,1,
flex med pouch kangaroo 1 sz,1,0.2,1,
flex med pouch ranger green 1 sz,3,0.6,1,
range master pouch lg black 1 sz,2,0.4,1,
range master pouch lg python 1 sz,3,0.6,1,
1.5in low pro tdu belt black l,4,0.8,1,
1.5in low pro tdu belt black m,0,0.0,1,
1.5in low pro tdu belt black s,2,0.4,1,
1.5in low pro tdu belt black xl,1,0.2,1,
1.5in low pro tdu belt kangaroo l,6,1.2,1,
1.5in low pro tdu belt kangaroo m,4,0.8,1,
1.5in low pro tdu belt kangaroo s,3,0.6,1,
1.5in low pro tdu belt kangaroo xl,1,0.2,1,
emergency ready bag black 1 sz,0,0.0,1,
basic patrol bag black 1 sz,0,0.0,1,
rush100 black l/xl,0,0.0,1,
rush12 2.0 backpack black 1 sz,4,0.8,1,
rush12 2.0 backpack double tap 1 sz,3,0.6,1,
rush12 2.0 backpack kangaroo 1 sz,2,0.4,1,
rush12 2.0 backpack ranger green 1 sz,5,1.0,1,
rush12 2.0 mc backpack multicam 1 sz,1,0.2,1,
rush24 2.0 backpack black 1 sz,0,0.0,1,
rush24 2.0 backpack dark navy 1 sz,0,0.0,1,
rush24 2.0 backpack double tap 1 sz,10,2.0,1,
rush24 2.0 backpack kangaroo 1 sz,1,0.2,1,
rush24 2.0 backpack storm 1 sz,2,0.4,1,
rush24 2.0 mc backpack multicam 1 sz,1,0.2,1,
rush72 2.0 backpack black 1 sz,6,1.2,1,
rush72 2.0 backpack double tap 1 sz,5,1.0,1,
rush72 2.0 backpack kangaroo 1 sz,5,1.0,1,
rush72 2.0 backpack ranger green 1 sz,6,1.2,1,
rush72 2.0 mc backpack multicam 1 sz,1,0.2,1,
range ready trainer bag black 1 sz,2,0.4,1,
range ready trainer bag kangaroo 1 sz,1,0.2,1,
"skyhawk 1.5"" belt kangaroo m",1,0.2,1,
hardpoint m2 black 1 sz,10,2.0,1,
hardpoint m2 kangaroo 1 sz,17,3.4,1,
hardpoint m3 black 1 sz,14,2.8,1,
hardpoint m3 kangaroo 1 sz,10,2.0,1,
hardpoint mk1 black 1 sz,13,2.6,1,
hardpoint mk1 kangaroo 1 sz,6,1.2,1,
pathfinder black 1 sz,1,0.2,1,
pathfinder black camo 1 sz,2,0.4,1,
pathfinder kangaroo 1 sz,0,0.0,1,
field watch 2.0 black 1 sz,9,1.8,1,
field watch 2.0 kangaroo 1 sz,8,1.6,1,
covrt18 2.0 black 1 sz,0,0.0,1,
covrt18 2.0 coyote 1 sz,0,0.0,1,
daily deploy push pack black 1 sz,4,0.8,1,
fast-tac 12 backpack kangaroo 1 sz,1,0.2,1,
fast-tac 24 backpack black 1 sz,1,0.2,1,
fast-tac 24 backpack kangaroo 1 sz,2,0.4,1,
hardpoint m1 + md black 1 sz,20,4.0,1,
hardpoint m1 + md kangaroo 1 sz,26,5.2,1,
overwatch messenger black 1 sz,3,0.6,1,
overwatch messenger double tap 1 sz,9,1.8,1,
flex tourniquet pouch kangaroo 1 sz,5,1.0,1,
flex tourniquet pouch ranger green 1 sz,9,1.8,1,
flex radio 2.0 pouch black 1 sz,0,0.0,1,
