normalized_description,total_units_sold,total_income,total_cost,total_margin,avg_ticket_price,sale_frequency_days
stryke pant w/flex-tac tm black 32 30,2,3879.3,1886.74381,1992.5561900000002,1939.65,0
stryke pant w/flex-tac tm black 34 32,2,4553.44,2081.72,2471.72,2276.72,0
stryke pant w/flex-tac tm black 40 32,2,3948.28,2426.390522,1521.889478,1974.14,1
stryke pant w/flex-tac tm dark navy 32 3,2,4553.44,2426.44,2126.9999999999995,2276.72,0
stryke pant w/flex-tac tm drk nvy 32 30,2,3879.3,1867.504836,2011.795164,1939.65,1
stryke pant w/flex-tac tm drk nvy 34 32,4,8432.74,3956.960428,4475.7795719999995,2108.185,1
stryke pant w/flex-tac tm drk nvy 36 32,4,7930.78,3935.383372,3995.3966279999995,1982.695,0
stryke pant w/flex-tac tm drk nvy 40 32,2,3879.3,1850.088572,2029.211428,1939.65,1
stryke pant w/flex-tac tm khaki 34 30,2,3879.3,2136.6916,1742.6084,1939.65,1
stryke pant w/flex-tac tm khaki 34 32,2,4553.44,2016.4,2537.0399999999995,2276.72,0
stryke pant w/flex-tac tm khaki 36 32,2,3879.3,2053.797088,1825.5029120000004,1939.65,1
stryke pant w/flex-tac tm rngr grn 34 32,2,3879.3,2220.84585,1658.45415,1939.65,0
stryke pant w/flex-tac tm stone 32 30,2,3879.3,1981.803356,1897.4966440000003,1939.65,0
stryke pant w/flex-tac tm stone 34 30,2,3879.3,2061.432934,1817.8670660000002,1939.65,1
stryke pant w/flex-tac tm stone 36 32,2,3879.3,1981.803356,1897.4966440000003,1939.65,0
stryke pant w/flex-tac tm tdu green 36 3,2,3879.3,2426.431286,1452.8687140000002,1939.65,0
stryke pant w/flex-tac tm tdu grn 32 30,6,11637.900000000001,5672.94966,5964.95034,1939.6500000000003,0
stryke pant w/flex-tac tm tdu grn 32 32,6,11637.900000000001,5802.77493,5835.125070000001,1939.6500000000003,0
stryke pant w/flex-tac tm tdu grn 34 30,4,7758.6,4273.3832,3485.2168,1939.65,0
stryke pant w/flex-tac tm tdu grn 34 32,8,15517.2,7653.006,7864.194,1939.65,0
