normalized_description,total_units_sold,total_income,total_cost,total_margin,avg_ticket_price,sale_frequency_days,cantidad_total_importada,costo_unitario_promedio_import,gastos_logisticos_promedio,tiempo_promedio_entrega,ultima_fecha_importacion,Existencias,coverage_days,low_stock_flag,stock_rotation,demanda_diaria_estimada,cantidad_a_importar,dias_hasta_proxima_importacion
5.11 scope hoodie heather grey l,2,2396.56,892.008366,1504.551634,1198.28,0,,,,17.783699750459917,2024-12-01,,,,,0.022222222222222223,0.39519332778799815,212
5.11 scope hoodie ranger green xl,2,2396.56,892.008366,1504.551634,1198.28,0,,,,17.783699750459917,2024-12-01,,,,,0.022222222222222223,0.39519332778799815,212
5.11 scope patch black 1 sz,2,379.32,155.7776,223.5424,189.66,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 scope patch black 1 sz,2,379.32,155.7776,223.5424,189.66,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 scope patch black 1sz,4,758.64,311.5552,447.0848,189.66,1,,,,17.783699750459917,2024-12-01,,,,,0.044444444444444446,0.7903866555759963,212
5.11 scope s/s tee black l,2,1386.2,755.083572,631.116428,693.1,0,,,,17.783699750459917,2024-12-01,2.0,0.4,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 scope s/s tee pacific navy l,2,1386.2,755.083572,631.116428,693.1,0,,,,17.783699750459917,2024-12-01,1.0,0.2,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 scope s/s tee pacific navy xl,2,1379.32,755.083572,624.2364279999999,689.66,1,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 scope s/s tee pacific navy xl,2,1379.32,755.083572,624.2364279999999,689.66,1,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 tomcat flag patch multi 1sz,2,379.3,334.6384,44.66160000000002,189.65,0,,,,17.783699750459917,2024-12-01,,,,,0.022222222222222223,0.39519332778799815,212
6.6 med pouch black 1 sz,2,1810.34,1021.278758,789.0612419999999,905.17,0,,,,17.783699750459917,2024-12-01,11.0,2.2,1.0,,0.022222222222222223,0.39519332778799815,212
6.6 med pouch black 1sz,2,1810.34,1021.278758,789.0612419999999,905.17,0,,,,17.783699750459917,2024-12-01,,,,,0.022222222222222223,0.39519332778799815,212
80s shall we play patch multi 1sz,4,620.68,367.0696,253.6104,155.17,1,,,,17.783699750459917,2024-12-01,,,,,0.044444444444444446,0.7903866555759963,212
abr island-nade ss tee black s,2,1034.48,532.135278,502.3447220000001,517.24,1,,,,17.783699750459917,2024-12-01,,,,,0.022222222222222223,0.39519332778799815,212
abr plate carrier black 1 sz,2,7327.58,4045.067224,3282.512776,3663.79,1,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
abr plate carrier black 1 sz,2,7327.58,4045.067224,3282.512776,3663.79,1,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant black 32 32,2,3086.2,1636.544636,1449.6553639999995,1543.1,1,,,,17.783699750459917,2024-12-01,16.0,3.2,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant black 34 32,4,6172.4,3231.15798,2941.24202,1543.1,1,,,,17.783699750459917,2024-12-01,14.0,2.8,1.0,,0.044444444444444446,0.7903866555759963,212
abr pro pant black 36 32,4,6172.4,3211.76608,2960.63392,1543.1,1,,,,17.783699750459917,2024-12-01,7.0,1.4,1.0,,0.044444444444444446,0.7903866555759963,212
abr pro pant dark navy 30 30,2,3086.2,1464.717284,1621.4827159999998,1543.1,0,,,,17.783699750459917,2024-12-01,,,,,0.022222222222222223,0.39519332778799815,212
abr pro pant dark navy 30 32,2,3086.2,1691.868556,1394.331444,1543.1,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant dark navy 30 32,2,3086.2,1691.868556,1394.331444,1543.1,0,,,,17.783699750459917,2024-12-01,13.0,2.6,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant dark navy 32 32,4,6172.4,3336.2146860000003,2836.1853139999994,1543.1,0,,,,17.783699750459917,2024-12-01,3.0,0.6,1.0,,0.044444444444444446,0.7903866555759963,212
abr pro pant dark navy 32 32,4,6172.4,3336.2146860000003,2836.1853139999994,1543.1,0,,,,17.783699750459917,2024-12-01,15.0,3.0,1.0,,0.044444444444444446,0.7903866555759963,212
abr pro pant dark navy 34 32,6,9258.6,5092.085238,4166.514761999999,1543.0999999999997,1,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.06666666666666667,1.1855799833639944,212
abr pro pant dark navy 34 32,6,9258.6,5092.085238,4166.514761999999,1543.0999999999997,1,,,,17.783699750459917,2024-12-01,15.0,3.0,1.0,,0.06666666666666667,1.1855799833639944,212
abr pro pant dark navy 36 32,4,6172.4,3391.515264,2780.8847359999995,1543.1,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.044444444444444446,0.7903866555759963,212
abr pro pant dark navy 36 32,4,6172.4,3391.515264,2780.8847359999995,1543.1,0,,,,17.783699750459917,2024-12-01,5.0,1.0,1.0,,0.044444444444444446,0.7903866555759963,212
abr pro pant kangaroo 32 30,2,3086.2,1488.112442,1598.0875579999995,1543.1,0,,,,17.783699750459917,2024-12-01,4.0,0.8,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant kangaroo 32 32,2,3086.2,1513.922862,1572.277138,1543.1,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant kangaroo 32 32,2,3086.2,1513.922862,1572.277138,1543.1,0,,,,17.783699750459917,2024-12-01,17.0,3.4,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant kangaroo 36 32,4,6172.4,3153.620184,3018.779816,1543.1,0,,,,17.783699750459917,2024-12-01,1.0,0.2,1.0,,0.044444444444444446,0.7903866555759963,212
abr pro pant kangaroo 36 32,4,6172.4,3153.620184,3018.779816,1543.1,0,,,,17.783699750459917,2024-12-01,4.0,0.8,1.0,,0.044444444444444446,0.7903866555759963,212
abr pro pant khaki 32 30,2,3539.66,1535.304818,2004.355182,1769.83,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant khaki 32 30,2,3539.66,1535.304818,2004.355182,1769.83,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant khaki 32 32,1,1.0,810.658509,-809.658509,1.0,0,,,,17.783699750459917,2024-12-01,6.0,1.2,1.0,,0.011111111111111112,0.19759666389399907,212
abr pro pant khaki 34 32,2,3086.2,1621.317018,1464.882982,1543.1,1,,,,17.783699750459917,2024-12-01,1.0,0.2,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant khaki 34 32,2,3086.2,1621.317018,1464.882982,1543.1,1,,,,17.783699750459917,2024-12-01,6.0,1.2,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant khaki 36 32,2,3086.2,1621.317078,1464.8829219999998,1543.1,1,,,,17.783699750459917,2024-12-01,7.0,1.4,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant ranger green 32 32,3,3087.2,2302.608043,784.5919569999998,1029.0666666666666,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.03333333333333333,0.5927899916819972,212
abr pro pant ranger green 32 32,3,3087.2,2302.608043,784.5919569999998,1029.0666666666666,0,,,,17.783699750459917,2024-12-01,17.0,3.4,1.0,,0.03333333333333333,0.5927899916819972,212
abr pro pant ranger green 34 32,2,3086.2,1621.317018,1464.882982,1543.1,0,,,,17.783699750459917,2024-12-01,3.0,0.6,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant ranger green 34 32,2,3086.2,1621.317018,1464.882982,1543.1,0,,,,17.783699750459917,2024-12-01,14.0,2.8,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant ranger green 36 32,2,3086.2,1483.176428,1603.0235719999998,1543.1,0,,,,17.783699750459917,2024-12-01,1.0,0.2,1.0,,0.022222222222222223,0.39519332778799815,212
abr pro pant ranger green 36 32,2,3086.2,1483.176428,1603.0235719999998,1543.1,0,,,,17.783699750459917,2024-12-01,11.0,2.2,1.0,,0.022222222222222223,0.39519332778799815,212
adelita gnome patch green 1 sz,2,284.48,153.3122,131.16780000000003,142.24,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
adelita gnome patch green 1 sz,2,284.48,153.3122,131.16780000000003,142.24,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
adventure primaloft vest pecan l,2,4293.1,1944.785952,2348.314048,2146.55,1,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
adventure primaloft vest pecan l,2,4293.1,1944.785952,2348.314048,2146.55,1,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
adventure primaloft vest pecan m,2,4293.1,1944.814334,2348.2856660000007,2146.55,1,,,,17.783699750459917,2024-12-01,2.0,0.4,1.0,,0.022222222222222223,0.39519332778799815,212
alpha acorn ss tee,2,1120.7,602.288258,518.411742,560.35,0,,,,17.783699750459917,2024-12-01,,,,,0.022222222222222223,0.39519332778799815,212
alta belt black xl,4,3486.28,2100.194268,1386.0857319999998,897.1366666666667,1,,,,17.783699750459917,2024-12-01,1.0,0.2,1.0,,0.044444444444444446,0.7903866555759963,212
alta belt coyote m,2,1896.54,1015.692914,880.847086,948.27,0,,,,17.783699750459917,2024-12-01,4.0,0.8,1.0,,0.022222222222222223,0.39519332778799815,212
always be thankful patch khaki 1sz,10,1896.6,855.88977,1040.71023,189.66,3,,,,17.783699750459917,2024-12-01,,,,,0.1111111111111111,1.9759666389399906,212
always ready s/s tee heather grey l,4,1844.8,1071.2248,773.5752,461.2,1,,,,17.783699750459917,2024-12-01,3.0,0.6,1.0,,0.044444444444444446,0.7903866555759963,212
america beautiful ss tee black m,2,922.4,423.001,499.399,461.2,0,,,,17.783699750459917,2024-12-01,,,,,0.022222222222222223,0.39519332778799815,212
american flag stix patch khaki 1sz,2,362.06,194.37827,167.68173000000002,181.03,1,,,,17.783699750459917,2024-12-01,,,,,0.022222222222222223,0.39519332778799815,212
apex pant battle brown 34 32,2,3879.32,2382.3104,1497.0096000000003,1939.66,1,,,,17.783699750459917,2024-12-01,13.0,2.6,1.0,,0.022222222222222223,0.39519332778799815,212
apex pant battle brown 36 32,4,7758.620000000001,4232.342221999999,3526.2777780000006,1939.655,1,,,,17.783699750459917,2024-12-01,14.0,2.8,1.0,,0.044444444444444446,0.7903866555759963,212
apex pant battle brown 38 32,4,7758.6,3700.063644,4058.536356000001,1939.65,0,,,,17.783699750459917,2024-12-01,1.0,0.2,1.0,,0.044444444444444446,0.7903866555759963,212
apex pant battle brown 38 32,4,7758.6,3700.063644,4058.536356000001,1939.65,0,,,,17.783699750459917,2024-12-01,10.0,2.0,1.0,,0.044444444444444446,0.7903866555759963,212
apex pant black 30 30,2,3879.3,1850.046018,2029.253982,1939.65,1,,,,17.783699750459917,2024-12-01,6.0,1.2,1.0,,0.022222222222222223,0.39519332778799815,212
apex pant black 32 30,2,4470.7,1850.031822,2620.668178,2235.35,0,,,,17.783699750459917,2024-12-01,2.0,0.4,1.0,,0.022222222222222223,0.39519332778799815,212
apex pant black 32 32,2,4470.7,1850.031822,2620.668178,2235.35,0,,,,17.783699750459917,2024-12-01,2.0,0.4,1.0,,0.022222222222222223,0.39519332778799815,212
apex pant black 32 32,2,4470.7,1850.031822,2620.668178,2235.35,0,,,,17.783699750459917,2024-12-01,8.0,1.6,1.0,,0.022222222222222223,0.39519332778799815,212
apex pant black 34 32,2,3879.3,2047.97928,1831.32072,1939.65,0,,,,17.783699750459917,2024-12-01,16.0,3.2,1.0,,0.022222222222222223,0.39519332778799815,212
apex pant burnt 30 30,2,3879.32,1858.47463,2020.84537,1939.66,0,,,,17.783699750459917,2024-12-01,3.0,0.6,1.0,,0.022222222222222223,0.39519332778799815,212
apex pant burnt 30 32,2,3879.3,1850.088572,2029.211428,1939.65,0,,,,17.783699750459917,2024-12-01,2.0,0.4,1.0,,0.022222222222222223,0.39519332778799815,212
apex pant burnt 32 30,4,8350.02,3696.322908,4653.697092,2087.505,0,,,,17.783699750459917,2024-12-01,5.0,1.0,1.0,,0.044444444444444446,0.7903866555759963,212
apex pant burnt 32 32,2,3879.32,1805.697488,2073.622512,1939.66,1,,,,17.783699750459917,2024-12-01,5.0,1.0,1.0,,0.022222222222222223,0.39519332778799815,212
apex pant burnt 34 32,4,7758.64,4277.270496,3481.369504,1939.66,1,,,,17.783699750459917,2024-12-01,1.0,0.2,1.0,,0.044444444444444446,0.7903866555759963,212
apex pant burnt 34 32,4,7758.64,4277.270496,3481.369504,1939.66,1,,,,17.783699750459917,2024-12-01,2.0,0.4,1.0,,0.044444444444444446,0.7903866555759963,212
apex pant dark navy 30 30,2,3879.3,1850.088572,2029.211428,1939.65,0,,,,17.783699750459917,2024-12-01,1.0,0.2,1.0,,0.022222222222222223,0.39519332778799815,212
apex pant dark navy 32 30,2,3879.3,1850.031822,2029.2681780000005,1939.65,0,,,,17.783699750459917,2024-12-01,4.0,0.8,1.0,,0.022222222222222223,0.39519332778799815,212
apex pant dark navy 32 32,4,7758.6,3700.063644,4058.536356000001,1939.65,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.044444444444444446,0.7903866555759963,212
apex pant dark navy 32 32,4,7758.6,3700.063644,4058.536356000001,1939.65,0,,,,17.783699750459917,2024-12-01,18.0,3.6,1.0,,0.044444444444444446,0.7903866555759963,212
apex pant dark navy 34 32,4,7758.64,4402.129984,3356.510016,1939.66,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.044444444444444446,0.7903866555759963,212
apex pant dark navy 34 32,4,7758.64,4402.129984,3356.510016,1939.66,0,,,,17.783699750459917,2024-12-01,16.0,3.2,1.0,,0.044444444444444446,0.7903866555759963,212
apex pant dark navy 36 32,7,13231.63,6475.111376999999,6756.518623000001,1890.2328571428573,1,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.07777777777777778,1.3831766472579936,212
apex pant dark navy 36 32,7,13231.63,6475.111376999999,6756.518623000001,1890.2328571428573,1,,,,17.783699750459917,2024-12-01,9.0,1.8,1.0,,0.07777777777777778,1.3831766472579936,212
apex pant dark navy 38 32,2,3879.3,2019.306736,1859.993264,1939.65,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
apex pant dark navy 38 32,2,3879.3,2019.306736,1859.993264,1939.65,0,,,,17.783699750459917,2024-12-01,6.0,1.2,1.0,,0.022222222222222223,0.39519332778799815,212
apex pant khaki 30 30,2,3879.3,1850.088572,2029.211428,1939.65,0,,,,17.783699750459917,2024-12-01,2.0,0.4,1.0,,0.022222222222222223,0.39519332778799815,212
apex pant khaki 32 30,2,3879.32,1824.777372,2054.542628,1939.66,1,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.022222222222222223,0.39519332778799815,212
