normalized_description,pred_cantidad,pred_dias
comfort mask dpp 2pk green l,0.39640823,212.00006
comfort mask dpp 2pk green m,0.39640823,212.00006
comfort mask dpp 2pk green m,0.39640823,212.00006
comfort mask sol 1pk navy blue l,0.78996116,212.00006
comfort mask sol 2pk black m,0.39640823,212.00006
competition shooting glv kangaroo 2xl,0.39640823,212.00006
competition shooting glv kangaroo l,0.39640823,212.00006
competition shooting glv kangaroo l,0.39640823,212.00006
competition shooting glv kangaroo xl,0.39640823,212.00006
competition shtg glv 2.0 019 black xl,2.9619176,212.00006
conquered patch blue 1sz,0.39640823,212.00006
covrt18 2.0 black 1 sz,0.39640823,212.00006
covrt18 2.0 black 1 sz,0.39640823,212.00006
covrt18 2.0 black 1sz,0.39640823,212.00006
covrt18 2.0 coyote 1 sz,0.39640823,212.00006
covrt18 2.0 coyote 1 sz,0.39640823,212.00006
daily deploy push pack black 1sz,0.39640823,212.00006
decoy convertible pant rngr green 34 32,0.39640823,212.00006
decoy convertible pant rngr green 34 32,0.39640823,212.00006
defender-flex slim jean dw indigo 36 32,0.39640823,212.00006
defender-flex slim jean dw indigo 36 32,0.39640823,212.00006
defender-flex slim jean dw indigo 38 32,0.39640823,212.00006
defender-flex slim jean dw indigo 40 32,0.39640823,212.00006
defender-flex slim jean sw charc 30 32,0.39640823,212.00006
defender-flex slim jean sw charc 34 32,0.39640823,212.00006
defender-flex slim jean sw charc 36 32,0.78996116,212.00006
defender-flex slim jean sw indigo 32 32,0.39640823,212.00006
defender-flex slim jean sw indigo 34 32,0.78996116,212.00006
defender-flex slim jean sw indigo 36 32,0.78996116,212.00006
division digital black 1 sz,0.39640823,212.00006
division digital black 1 sz,0.39640823,212.00006
don't thread patch green 1sz,0.39640823,212.00006
1.5in low pro tdu belt black l,0.39640823,212.00006
wm tclt pdu l/s b-cl shrt midnight nvy x,30.034203,212.00006
wm tclt pdu s/s b-cl shrt midnight nvy x,38.517426,212.00006
double pistol case black 1 sz,0.39640823,212.00006
double pistol case black 1 sz,0.39640823,212.00006
double pistol case kangaroo 1 sz,0.39640823,212.00006
double pistol case kangaroo 1 sz,0.39640823,212.00006
double pistol case ranger green 1 sz,0.39640823,212.00006
double pistol case ranger green 1 sz,0.39640823,212.00006
dredger 7in short black 36,0.39640823,212.00006
dredger 7in short black 36,0.39640823,212.00006
duty rain shell dark navy l,0.20677088,212.00006
duty rain shell dark navy l,0.20677088,212.00006
eagle april 2023 potm grey 1sz,0.39640823,212.00006
edc 2aaa kangaroo 1 sz,0.59231013,212.00006
edt multitool khaki 1sz,0.39640823,212.00006
edt rescue alert blue 1 sz,1.1847556,212.00006
emergency ready bag black 1 sz,0.39640823,212.00006
emergency ready bag black 1 sz,0.39640823,212.00006
5.11 a/t 6 sz black 6 r,15.615149,212.00006
esc rescue knife tumbld steel 1 sz,2.3714132,212.00006
esc rescue tool tumbld steel 1 sz,0.39640823,212.00006
escape at all costs patch,0.39640823,212.00006
escape patch brown 1sz,0.39640823,212.00006
eum id patch multi 1sz,0.78996116,212.00006
exo.e external elbow pad black 1sz,0.78996116,212.00006
exo.k external knee pad black 1sz,0.78996116,212.00006
exo.k external knee pad kangaroo 1 sz,0.9880135,212.00006
exo.k external knee pad kangaroo 1 sz,0.9880135,212.00006
f14 plane flight patch grey 1sz,0.78996116,212.00006
fast tac 6 black 10 r,2.3714132,212.00006
fast tac 6 black 10 r,2.3714132,212.00006
fast tac 6 black 10.5 r,1.1847556,212.00006
fast tac 6 black 10.5 r,1.1847556,212.00006
fast tac 6 black 11 r,0.59231013,212.00006
fast tac 6 black 11 r,0.59231013,212.00006
fast tac 6 black 11.5 r,0.59231013,212.00006
fast tac 6 black 11.5 r,0.59231013,212.00006
fast tac 6 black 4 r,0.59231013,212.00006
fast tac 6 black 4 r,0.59231013,212.00006
fast tac 6 black 5 r,2.3714132,212.00006
fast tac 6 black 5 r,2.3714132,212.00006
fast tac 6 black 6 r,4.767352,212.00006
fast tac 6 black 6 r,4.767352,212.00006
fast tac 6 black 7 r,5.542001,212.00006
fast tac 6 black 7 r,5.542001,212.00006
fast tac 6 black 7.5 r,0.39640823,212.00006
fast tac 6 black 7.5 r,0.39640823,212.00006
fast tac 6 black 8 r,3.289026,212.00006
fast tac 6 black 8 r,3.289026,212.00006
fast tac 6 black 8.5 r,0.39640823,212.00006
fast tac 6 black 8.5 r,0.39640823,212.00006
fast tac 6 black 9 r,4.3719864,212.00006
fast tac 6 black 9.5 r,3.1609528,212.00006
fast tac 6 black 9.5 r,3.1609528,212.00006
fast tac 8'' black 10 r,0.39640823,212.00006
fast tac vest black l,0.39640823,212.00006
fast tac vest black m,0.39640823,212.00006
fast tac vest black m,0.39640823,212.00006
fast tac vest black s,0.78996116,212.00006
fast tac vest black s,0.78996116,212.00006
fast tac vest black xl,0.78996116,212.00006
fast tac vest ranger green l,0.39640823,212.00006
fast tac vest ranger green m,0.39640823,212.00006
fast tac vest ranger green xl,0.39640823,212.00006
fast tac vest tdu khaki l,0.39640823,212.00006
fast tac vest tdu khaki l,0.39640823,212.00006
fast tac vest tdu khaki m,0.78996116,212.00006
fast tac vest tdu khaki s,0.39640823,212.00006
fast tac vest tdu khaki s,0.39640823,212.00006
fast tac vest tdu khaki xl,0.39640823,212.00006
fast-tac cargo pant battle brown 32 30,0.39640823,212.00006
fast-tac cargo pant battle brown 32 32,0.78996116,212.00006
fast-tac cargo pant battle brown 38 32,0.39640823,212.00006
fast-tac cargo pant battle brown 38 32,0.39640823,212.00006
fast-tac cargo pant black 34 30,0.39640823,212.00006
fast-tac cargo pant black 34 32,0.59231013,212.00006
fast-tac cargo pant black 34 32,0.59231013,212.00006
fast-tac cargo pant black 36 32,0.39640823,212.00006
fast-tac cargo pant black 36 32,0.39640823,212.00006
fast-tac cargo pant black 36 34,0.39640823,212.00006
fast-tac cargo pant black 40 32,0.39640823,212.00006
fast-tac cargo pant charcoal 30 32,0.39640823,212.00006
fast-tac cargo pant charcoal 30 32,0.39640823,212.00006
fast-tac cargo pant charcoal 32 30,0.78996116,212.00006
fast-tac cargo pant charcoal 32 30,0.78996116,212.00006
fast-tac cargo pant charcoal 32 32,1.1847556,212.00006
fast-tac cargo pant charcoal 32 32,1.1847556,212.00006
fast-tac cargo pant charcoal 34 30,0.78996116,212.00006
fast-tac cargo pant charcoal 34 30,0.78996116,212.00006
fast-tac cargo pant charcoal 36 32,0.39640823,212.00006
fast-tac cargo pant charcoal 40 32,0.78996116,212.00006
fast-tac cargo pant charcoal 40 32,0.78996116,212.00006
fast-tac cargo pant dark navy 28 32,2.7677722,212.00006
fast-tac cargo pant dark navy 30 30,0.39640823,212.00006
fast-tac cargo pant dark navy 30 32,4.176469,212.00006
fast-tac cargo pant dark navy 32 32,9.477407,212.00006
fast-tac cargo pant dark navy 34 32,0.78996116,212.00006
fast-tac cargo pant dark navy 34 34,6.1295214,212.00006
fast-tac cargo pant dark navy 36 34,4.1751113,212.00006
fast-tac cargo pant dark navy 38 32,0.59231013,212.00006
fast-tac cargo pant dark navy 38 32,0.59231013,212.00006
fast-tac cargo pant dark navy 38 34,1.5797422,212.00006
fast-tac cargo pant dark navy 38 34,1.5797422,212.00006
fast-tac cargo pant dark navy 40 32,0.39640823,212.00006
fast-tac cargo pant dark navy 40 32,0.39640823,212.00006
fast-tac cargo pant dark navy 40 34,1.1847556,212.00006
fast-tac cargo pant dark navy 42 32,0.39640823,212.00006
fast-tac cargo pant dark navy 42 34,0.59231013,212.00006
fast-tac cargo pant dark navy 44 34,0.20677088,212.00006
fast-tac cargo pant dark navy 46 32,0.39640823,212.00006
fast-tac cargo pant dark navy 46 32,0.39640823,212.00006
fast-tac cargo pant khaki 30 30,0.39640823,212.00006
fast-tac cargo pant khaki 34 32,0.78996116,212.00006
fast-tac cargo pant khaki 34 32,0.78996116,212.00006
fast-tac l/s shirt black l,0.39640823,212.00006
fast-tac l/s shirt black l,0.39640823,212.00006
fast-tac l/s shirt black l,0.39640823,212.00006
fast-tac l/s shirt black m,1.3821095,212.00006
fast-tac l/s shirt black m,1.3821095,212.00006
fast-tac l/s shirt black m,1.3821095,212.00006
fast-tac l/s shirt charcoal l,0.39640823,212.00006
fast-tac l/s shirt charcoal l,0.39640823,212.00006
fast-tac l/s shirt charcoal m,0.78996116,212.00006
fast-tac l/s shirt charcoal m,0.78996116,212.00006
fast-tac l/s shirt charcoal s,0.39640823,212.00006
fast-tac l/s shirt charcoal s,0.39640823,212.00006
fast-tac l/s shirt dark navy 2xl,0.9880135,212.00006
fast-tac l/s shirt dark navy 3xl,0.9880135,212.00006
fast-tac l/s shirt dark navy 3xl,0.9880135,212.00006
fast-tac l/s shirt dark navy l,7.710916,212.00006
fast-tac l/s shirt dark navy l,7.7095585,212.00006
fast-tac l/s shirt dark navy m,12.643896,212.00006
fast-tac l/s shirt dark navy m,12.629135,212.00006
fast-tac l/s shirt dark navy s,4.7659945,212.00006
fast-tac l/s shirt dark navy xl,4.1751113,212.00006
fast-tac l/s shirt khaki l,0.39640823,212.00006
fast-tac l/s shirt khaki l,0.39640823,212.00006
fast-tac l/s shirt khaki l,0.39640823,212.00006
fast-tac l/s shirt khaki m,0.39640823,212.00006
fast-tac l/s shirt khaki m,0.39640823,212.00006
fast-tac l/s shirt khaki s,0.39640823,212.00006
fast-tac l/s shirt uniform whte 2xl,3.1609528,212.00006
fast-tac l/s shirt uniform whte l,8.296358,212.00006
fast-tac l/s shirt uniform whte m,9.884452,212.00006
fast-tac l/s shirt uniform whte s,4.767352,212.00006
fast-tac l/s shirt uniform whte xl,8.296358,212.00006
fast-tac s/s shirt black l,0.39640823,212.00006
fast-tac s/s shirt charcoal l,0.39640823,212.00006
fast-tac s/s shirt charcoal l,0.39640823,212.00006
fast-tac s/s shirt charcoal m,0.39640823,212.00006
fast-tac s/s shirt charcoal m,0.39640823,212.00006
fast-tac s/s shirt charcoal s,0.39640823,212.00006
fast-tac s/s shirt dark navy l,0.39640823,212.00006
fast-tac s/s shirt dark navy l,0.39640823,212.00006
fast-tac s/s shirt dark navy l,0.39640823,212.00006
fast-tac s/s shirt dark navy l,0.39640823,212.00006
fast-tac s/s shirt dark navy m,2.7677722,212.00006
fast-tac s/s shirt dark navy m,2.7677722,212.00006
fast-tac s/s shirt khaki m,0.39640823,212.00006
fast-tac s/s shirt khaki s,0.39640823,212.00006
fast-tac s/s shirt uniform whte m,0.78996116,212.00006
fast-tac tdu pant dark navy 28 30,0.9880135,212.00006
fast-tac tdu pant dark navy 28 32,8.692367,212.00006
fast-tac tdu pant dark navy 28 34,15.974202,212.00006
fast-tac tdu pant dark navy 30 30,49.76493,212.00006
fast-tac tdu pant dark navy 30 32,26.599743,212.00006
fast-tac tdu pant dark navy 30 32,26.56444,212.00006
fast-tac tdu pant dark navy 32 30,1.3821095,212.00006
fast-tac tdu pant dark navy 32 32,34.199905,212.00006
fast-tac tdu pant dark navy 32 32,34.235214,212.00006
fast-tac tdu pant dark navy 32 34,125.66944,212.00006
fast-tac tdu pant dark navy 32 34,125.66944,212.00006
fast-tac tdu pant dark navy 34 30,23.979132,212.00006
fast-tac tdu pant dark navy 34 32,210.9567,212.00006
fast-tac tdu pant dark navy 34 32,210.9567,212.00006
fast-tac tdu pant dark navy 34 34,1.1847556,212.00006
fast-tac tdu pant dark navy 36 32,195.37277,212.00006
fast-tac tdu pant dark navy 36 32,195.38016,212.00006
fast-tac tdu pant dark navy 36 34,0.9880135,212.00006
