"Id Referencia ","Descripcion producto","Marca  ","Línea ","Existencias ","Costo promedio "
"30012-010-S","5.11 SLEEVELESS HOLSTER SHIRT WHITE S","5.11","PLAYE","1","520.8"
"34817.26","TRAINING CABALLERO 1/1 PZA","PIRMA","CALZA","1","602.6"
"34817.26","TRAINING CABALLERO 1/1 PZA","PIRMA","CALZA","0","602.6"
"38084-019-M","LEONE SOFTSHELL JACKET BLACK M","5.11","CHAMA","1","1566.5"
"40016-019-2XL","UTILI-T 3PK S/S T BLACK 2XL","5.11","PLAYE","6","620.3"
"40016-019-2XL-1P","UTILI-T 3PK S/S T BLACK 2XL 1PK","5.11","PLAYE","1","204.9"
"40016-019-L","UTILI-T 3PK S/S T BLACK L","5.11","PLAYE","4","667.2"
"40016-019-L-1PK","UTILI-T 3PK S/S T BLACK L 1PK","5.11","PLAYE","2","207.6"
"40016-019-M","UTILI-T 3PK S/S T BLACK M","5.11","PLAYE","7","622.9"
"40016-019-M-1PK","UTILI-T 3PK S/S T BLACK M 1PK","5.11","PLAYE","1","207.5"
"40016-019-S","UTILI-T 3PK S/S T BLACK S","5.11","PLAYE","6","624.2"
"40016-019-S-1PK","UTILI-T 3PK S/S T BLACK S 1PK","5.11","PLAYE","0","207.9"
"40016-019-XL","UTILI-T 3PK S/S T BLACK XL","5.11","PLAYE","8","627.1"
"40016-019-XL-1PK","UTILI-T 3PK S/S T BLACK XL 1PK","5.11","PLAYE","1","203.5"
"40016-724-L","UTILI-T 3PK S/S T DARK NAVY L","5.11","PLAYE","5","603.7"
"40016-724-M","UTILI-T 3PK S/S T DARK NAVY M","5.11","PLAYE","4","611.9"
"40016-724-S","UTILI-T 3PK S/S T DARK NAVY S","5.11","PLAYE","2","616.7"
"40016-724-XL","UTILI-T 3PK S/S T DARK NAVY XL","5.11","PLAYE","3","601.1"
"40016-010-L","UTILI-T 3PK S/S T WHITE L","5.11","PLAYE","1","591.9"
"40016-010-M","UTILI-T 3PK S/S T WHITE M","5.11","PLAYE","4","611.4"
"40016-010-S","UTILI-T 3PK S/S T WHITE S","5.11","PLAYE","2","611.4"
"40016-010-XL","UTILI-T 3PK S/S T WHITE XL","5.11","PLAYE","5","586.5"
"40155-092-S","6"" SPORT BOXER BRIEF STORM S","5.11","INTER","1","271.2"
"40174-724-3XL","PERF UTILI-T 2PACK S/S DARK NAVY 3XL","5.11","PLAYE","0","817.7"
"40174-724-M","PERF UTILI-T 2PACK S/S DARK NAVY M","5.11","PLAYE","0","577.9"
"40175-019-L","PERF UTILI-T 2PACK L/S BLACK L","5.11","PLAYE","1","636.2"
"40175-724-M","PERF UTILI-T 2PACK L/S DARK NAVY M","5.11","PLAYE","1","636.3"
"40183-019-L","TROPOS BASELAYER L/S TOP BLACK L","5.11","INTER","1","616.9"
"40184-019-M","TROPOS BASELAYER TIGHT BLACK M","5.11","INTER","1","529.0"
"40184-019-S","TROPOS BASELAYER TIGHT BLACK S","5.11","INTER","1","529.0"
"40186-019-L","PERFORMANCE BRIEF 6"" 2.0 BLACK L","5.11","INTER","1","317.0"
"41017-724-M","UTILITY PT SHIRT DARK NAVY M","5.11","PLAYE","1","272.0"
"41018-696-S","S/S RAPID PERFORMNCE POLO FIRE MED BLU S","5.11","PLAYE","1","592.0"
"41180-692-2XL","UTILITY S/S POLO ACADEMY BLUE 2XL","5.11","PLAYE","0","465.5"
"41180-692-L","UTILITY S/S POLO ACADEMY BLUE L","5.11","PLAYE","0","465.5"
"41180-692-M","UTILITY S/S POLO ACADEMY BLUE M","5.11","PLAYE","0","464.7"
"41180-692-S","UTILITY S/S POLO ACADEMY BLUE S","5.11","PLAYE","0","465.1"
"41180-692-XL","UTILITY S/S POLO ACADEMY BLUE XL","5.11","PLAYE","0","465.5"
"41180-019-L","UTILITY S/S POLO BLACK L","5.11","PLAYE","6","470.1"
"41180-019-S","UTILITY S/S POLO BLACK S","5.11","PLAYE","0","478.0"
"41180-724-2XL","UTILITY S/S POLO DARK NAVY 2XL","5.11","PLAYE","0","445.2"
"41180-724-L","UTILITY S/S POLO DARK NAVY L","5.11","PLAYE","4","457.3"
"41180-724-S","UTILITY S/S POLO DARK NAVY S","5.11","PLAYE","2","477.6"
"41180-724-XL","UTILITY S/S POLO DARK NAVY XL","5.11","PLAYE","0","456.0"
"41180-016-L","UTILITY S/S POLO HEATHER GREY L","5.11","PLAYE","0","445.2"
"41192-018-2XL","S/S HELIOS POLO CHARCOAL 2XL","5.11","PLAYE","0","587.4"
"41192-018-3XL","S/S HELIOS POLO CHARCOAL 3XL","5.11","PLAYE","0","711.2"
"41192-018-L","S/S HELIOS POLO CHARCOAL L","5.11","PLAYE","0","587.4"
"41192-018-M","S/S HELIOS POLO CHARCOAL M","5.11","PLAYE","0","588.8"
"41192-018-S","S/S HELIOS POLO CHARCOAL S","5.11","PLAYE","0","662.6"
"41192-018-XL","S/S HELIOS POLO CHARCOAL XL","5.11","PLAYE","0","587.4"
"41278-019-L","CALACUERNO TEE BLACK L","5.11","PLAYE","2","323.4"
"41278-019-M","CALACUERNO TEE BLACK M","5.11","PLAYE","0","323.4"
"41278-019-S","CALACUERNO TEE BLACK S","5.11","PLAYE","1","323.4"
"41288-186-M-R","V.XI SIGURD S/S SHIRT RANGER GREEN M R","5.11","CAMIS","0","1723.3"
"42056-724-L","PROFESSIONAL L/S POLO DARK NAVY L","5.11","PLAYE","0","716.8"
"43059-677-38","RECON VANDAL SHORT NAUTICAL 38","5.11","SHORT","1","608.0"
"44956-03-09","Siege X USB - SL-B26 battery pack & USB","STREAMLIGHT","LINTE","3","858.0"
"45502-019-30-30","BIKE PATROL PANT BLACK 30 30","5.11","PANTA","0","2521.6"
"45502-724-28-36","BIKE PATROL PANT DARK NAVY 28 36","5.11","PANTA","0","2530.2"
"45502-724-30-32","BIKE PATROL PANT DARK NAVY 30 32","5.11","PANTA","0","1765.1"
"45502-724-34-32","BIKE PATROL PANT DARK NAVY 34 32","5.11","PANTA","0","2521.6"
"45502-724-36-32","BIKE PATROL PANT DARK NAVY 36 32","5.11","PANTA","0","2521.6"
"45502-724-40-32","BIKE PATROL PANT DARK NAVY 40 32","5.11","PANTA","0","2721.6"
